Alpha Omicron Pi Corporations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:06 PM
Profit & Loss by Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/05/2017
July 2016 through April 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accrual Basis
,,,,,Alpha,Alpha Chi,Alpha Delta,Alpha Epsilon,Alpha Gamma,Alpha Lambda,Alpha Mu,Alpha Nu,Alpha Phi,Alpha Pi,Alpha Psi,Alpha Rho,Alpha Theta,Beta Chi,Beta Eta,Beta Gamma,Beta Nu,Beta Phi,Beta Sigma,Beta Upsilon,Beta Zeta,Chi Epsilon,Chi Lambda,Chi Phi,Chi Psi,Chi Theta,Delta,Delta Beta,Delta Delta,Delta Epsilon,Delta Gamma,Delta Kappa,Delta Lambda,Delta Nu,Delta Omega,Delta Pi,Delta Rho,Delta Sigma,Delta Tau,Delta Theta,Delta Xi,Epsilon Alpha,Epsilon Chi,Epsilon Gamma,Epsilon Omega,Epsilon Sigma,Gamma,Gamma Alpha,Gamma Delta,Gamma Omicron,Gamma Phi,Gamma Sigma,Gamma Theta,Iota,Iota Sigma,Iota Theta,Kappa Alpha,Kappa Chi,Kappa Delta,Kappa Gamma,Kappa Kappa,Kappa Omega,Kappa Omicron,Kappa Rho,Kappa Sigma,Kappa Tau,Lambda Alpha,Lambda Beta,Lambda Chi,Lambda Delta,Lambda Eta,Lambda Iota,Lambda Lambda,Lambda Omicron,Lambda Rho,Lambda Sigma,Lambda Tau,Lambda Upsilon,Mu Lambda,Nu Beta,Nu Omega,Nu Omicron,Omega,Omega Sigma,Omega Upsilon,Omicron,Omicron Pi,Phi Alpha,Phi Beta,Phi Chi,Phi Delta,Phi Gamma,Phi Lambda,Phi Sigma,Phi Upsilon,Pi Alpha,Pi Delta,Pi Omicron,Pi Theta,Rho Beta,Rho Delta,Rho Omicron,Sigma Alpha,Sigma Beta,Sigma Chi,Sigma Delta,Sigma Gamma,Sigma Omicron,Sigma Phi,Sigma Rho,Sigma Tau,Sigma Theta,Tau Delta,Tau Gamma,Tau Lambda,Tau Mu,Tau Omega,Tau Omicron,Theta Beta,Theta Chi,Theta Iota,Theta Omega,Theta Pi,Theta Psi,Theta Sigma,Upsilon,Upsilon Beta,Upsilon Lambda,Xi,Xi Omicron,Xi Rho,Zeta,Zeta Pi,Zeta Psi,Zeta Theta,ZZ - Delta Psi,ZZ - Sigma,ZZ - Tau (TN),Unclassified,TOTAL
,,Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CONTRACT FEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Contract Deposit,0,0,0,0,0,0,0,0,721,0,0,0,0,0,0,400,0,-500,0,0,0,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,1250,0,0,0,0,0,0,-2500,0,0,0,0,0,500,0,0,0,0,0,0,0,250,0,0,0,-500,0,0,0,1500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,-500,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0,0,0,0,0,0,6166.79,0,0,-500,0,0,0,0,400,-250,0,0,0,0,8187.79
,,,Total CONTRACT FEES,,0,0,0,0,0,0,0,0,721,0,0,0,0,0,0,400,0,-500,0,0,0,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,1250,0,0,0,0,0,0,-2500,0,0,0,0,0,500,0,0,0,0,0,0,0,250,0,0,0,-500,0,0,0,1500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,-500,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0,0,0,0,0,0,6166.79,0,0,-500,0,0,0,0,400,-250,0,0,0,0,8187.79
,,,DEVELOPMENT FEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Development Fees,0,36922.05,1511851.78,4840,36167.29,158518.17,10876.8,7421.15,34761.67,561642.5,9237.6,74360.19,3472.5,2850,7600,99150,44870,55700.4,15840,12406.11,21833.33,42784.47,9772.12,4425,67905.73,6850,11213.61,38059.55,27500,9200,69383.86,31415,4195.82,92880.8,14478.21,12870,7732.84,134818.32,11908.86,28132.82,4333.2,15975,11062.2,17208.3,9750,2587.5,7050,11362.5,21955.5,469429.59,10200,11615.57,42235.49,125477.43,85843.5,9651.21,12977.91,25437.67,4770,4750,26613.76,147756.66,59742,28434.22,1739.75,9750,4750,36799.44,11450.17,6444.74,57830.3,12983.78,8418.38,2860.48,46872.55,291077.1,28850,138431.25,12331.91,854979,10296.25,46070.71,21355.94,252642.71,60160.54,163284.95,61266.34,10432,4125,14000,6350,61116,7585.4,9956,111716.64,23616.58,44071.84,14325.96,19940.8,11723.82,28287.5,40134.3,53868.52,5652.5,16592.47,4275,11850,80059.89,36001.11,5186.05,4418.75,12098.66,8016.25,21855.05,5033.7,136048.94,6980.9,46915,7126.25,1300,16855.59,15123.5,5728.64,20906.61,3689.98,34420.02,7729.87,7968.5,211726.54,354645.65,14621.55,94841.5,12150,106094.55,26889.3,0,0,0,0,8446766.73
,,,Total DEVELOPMENT FEES,,0,36922.05,1511851.78,4840,36167.29,158518.17,10876.8,7421.15,34761.67,561642.5,9237.6,74360.19,3472.5,2850,7600,99150,44870,55700.4,15840,12406.11,21833.33,42784.47,9772.12,4425,67905.73,6850,11213.61,38059.55,27500,9200,69383.86,31415,4195.82,92880.8,14478.21,12870,7732.84,134818.32,11908.86,28132.82,4333.2,15975,11062.2,17208.3,9750,2587.5,7050,11362.5,21955.5,469429.59,10200,11615.57,42235.49,125477.43,85843.5,9651.21,12977.91,25437.67,4770,4750,26613.76,147756.66,59742,28434.22,1739.75,9750,4750,36799.44,11450.17,6444.74,57830.3,12983.78,8418.38,2860.48,46872.55,291077.1,28850,138431.25,12331.91,854979,10296.25,46070.71,21355.94,252642.71,60160.54,163284.95,61266.34,10432,4125,14000,6350,61116,7585.4,9956,111716.64,23616.58,44071.84,14325.96,19940.8,11723.82,28287.5,40134.3,53868.52,5652.5,16592.47,4275,11850,80059.89,36001.11,5186.05,4418.75,12098.66,8016.25,21855.05,5033.7,136048.94,6980.9,46915,7126.25,1300,16855.59,15123.5,5728.64,20906.61,3689.98,34420.02,7729.87,7968.5,211726.54,354645.65,14621.55,94841.5,12150,106094.55,26889.3,0,0,0,0,8446766.73
,,,OTHER INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Building and Furnishing Fees,0,8006.25,72500,1450,15166.22,18791.67,0,0,8583.33,29799.11,4800,13040,525,1433.33,2700,17875,12583.95,11400,5100,400,10550,1866.72,3750,2100,31400,3400,600,5750,23240,5400,25442.5,12500,1800,13513.38,1750,4500,4000,3600,6200,3083.36,1000,5700,0,3033.3,3500,900,2200,8800,8000,23750,0,5999.74,9416.63,15210,6811.67,-200,3360,5675,800,1900,8600,15083.33,933.24,4425,300,4200,0,3700,1433.33,1800,6350,5600,11720.22,966.65,12250,26800,3800,1200,2683.18,55106.35,4666.66,4125,200,27675,11653.12,9150,21950,10995,0,4600,2299.99,8300,1000,2900,15983.36,3966.66,0,3799.98,4000,2700,7375,4116.65,4180,0,200,2000,8400,10600,9250,1600,0,5200,3600,-100,400,39505,2150,3300,260,0,0,3183.3,0,3600,1320.6,11300,2300,3300.02,28085.41,42500,4000,14220,5100,17250,599.94,0,0,0,0,1040168.15
,,,,Fundraising - other than Founda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244328
